Inning,Top,Runners,Outs,-4,-3,-2,-1,0,1,2,3,4
1,TRUE,___,0,0.4,0.6,0.7,0.8,0.9, , , ,  
1,TRUE,1__,0,0.7,0.9,1.1,1.3,1.4, , , ,  
1,TRUE,_2_,0,0.6,0.7,0.9,1,1.2, , , ,  
1,TRUE,__3,0,0.5,0.6,0.8,0.9,1, , , ,  
1,TRUE,12_,0,0.8,1.1,1.3,1.6,1.8, , , ,  
1,TRUE,1_3,0,0.6,0.8,1.1,1.3,1.5, , , ,  
1,TRUE,_23,0,0.6,0.8,1,1.2,1.3, , , ,  
1,TRUE,123,0,0.8,1.1,1.4,1.7,2, , , ,  
1,TRUE,___,1,0.3,0.4,0.5,0.6,0.6, , , ,  
1,TRUE,1__,1,0.6,0.7,0.9,1,1.1, , , ,  
1,TRUE,_2_,1,0.6,0.8,0.9,1.1,1.2, , , ,  
1,TRUE,__3,1,0.7,0.9,1,1.2,1.3, , , ,  
1,TRUE,12_,1,0.9,1.2,1.5,1.7,1.9, , , ,  
1,TRUE,1_3,1,0.9,1.1,1.3,1.6,1.7, , , ,  
1,TRUE,_23,1,0.7,0.9,1.1,1.3,1.4, , , ,  
1,TRUE,123,1,1.1,1.5,1.8,2.1,2.4, , , ,  
1,TRUE,___,2,0.2,0.3,0.3,0.4,0.4, , , ,  
1,TRUE,1__,2,0.4,0.5,0.6,0.7,0.8, , , ,  
1,TRUE,_2_,2,0.6,0.7,0.9,1,1.1, , , ,  
1,TRUE,__3,2,0.7,0.9,1,1.2,1.3, , , ,  
1,TRUE,12_,2,0.8,1,1.3,1.5,1.6, , , ,  
1,TRUE,1_3,2,0.9,1.1,1.4,1.6,1.7, , , ,  
1,TRUE,_23,2,1,1.2,1.5,1.7,1.9, , , ,  
1,TRUE,123,2,1.4,1.8,2.1,2.5,2.7, , , ,  
1,FALSE,___,0,0.7,0.8,0.9,0.9,0.9,0.8,0.6,0.5,0.4
1,FALSE,1__,0,1.2,1.4,1.5,1.5,1.4,1.2,1,0.8,0.6
1,FALSE,_2_,0,1.1,1.2,1.3,1.2,1.1,1,0.8,0.6,0.5
1,FALSE,__3,0,1,1.1,1.1,1.1,1,0.8,0.7,0.5,0.4
1,FALSE,12_,0,1.7,1.9,2,1.9,1.7,1.5,1.2,0.9,0.7
1,FALSE,1_3,0,1.6,1.7,1.7,1.6,1.4,1.2,1,0.7,0.5
1,FALSE,_23,0,1.4,1.5,1.5,1.4,1.3,1.1,0.9,0.7,0.5
1,FALSE,123,0,2.2,2.3,2.3,2.1,1.9,1.6,1.2,0.9,0.7
1,FALSE,___,1,0.5,0.6,0.6,0.7,0.6,0.6,0.5,0.4,0.3
1,FALSE,1__,1,1,1.1,1.2,1.2,1.1,1,0.8,0.7,0.5
1,FALSE,_2_,1,1,1.1,1.2,1.2,1.2,1,0.9,0.7,0.5
1,FALSE,__3,1,1,1.1,1.3,1.3,1.3,1.1,1,0.8,0.6
1,FALSE,12_,1,1.7,1.9,2,2,1.8,1.6,1.3,1,0.8
1,FALSE,1_3,1,1.5,1.7,1.8,1.8,1.7,1.5,1.2,1,0.8
1,FALSE,_23,1,1.4,1.5,1.6,1.5,1.4,1.2,1,0.8,0.6
1,FALSE,123,1,2.4,2.6,2.6,2.6,2.3,2,1.6,1.3,1
1,FALSE,___,2,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2
1,FALSE,1__,2,0.6,0.7,0.8,0.8,0.8,0.7,0.6,0.5,0.4
1,FALSE,_2_,2,0.8,1,1.1,1.1,1.1,1,0.8,0.7,0.5
1,FALSE,__3,2,1,1.1,1.3,1.3,1.3,1.2,1,0.8,0.6
1,FALSE,12_,2,1.3,1.5,1.6,1.7,1.6,1.4,1.2,0.9,0.7
1,FALSE,1_3,2,1.4,1.6,1.7,1.8,1.7,1.5,1.3,1,0.8
1,FALSE,_23,2,1.6,1.8,2,2,1.9,1.7,1.4,1.1,0.8
1,FALSE,123,2,2.4,2.7,2.9,2.9,2.7,2.4,2,1.5,1.2
2,TRUE,___,0,0.4,0.6,0.7,0.8,0.9,1,0.9,0.8,0.7
2,TRUE,1__,0,0.7,0.9,1.1,1.3,1.5,1.5,1.5,1.4,1.2
2,TRUE,_2_,0,0.5,0.7,0.9,1.1,1.2,1.3,1.3,1.2,1
2,TRUE,__3,0,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.1,0.9
2,TRUE,12_,0,0.8,1.1,1.4,1.6,1.9,2,2,1.9,1.7
2,TRUE,1_3,0,0.6,0.8,1.1,1.3,1.6,1.7,1.8,1.7,1.5
2,TRUE,_23,0,0.6,0.8,1,1.2,1.4,1.5,1.6,1.5,1.4
2,TRUE,123,0,0.8,1.1,1.4,1.7,2,2.3,2.4,2.3,2.1
2,TRUE,___,1,0.3,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.5
2,TRUE,1__,1,0.6,0.7,0.9,1.1,1.2,1.3,1.2,1.1,0.9
2,TRUE,_2_,1,0.6,0.8,1,1.1,1.2,1.3,1.2,1.1,0.9
